ConversationID,Filename,PersonID,PersonCrmID,AccountID,AccountCrmID,MediaType,Platform,Date,Duration
3ebb1629-24b1-4f34-b21d-0fcad4928a59,transcript_audio_3ebb1629-24b1-4f34-b21d-0fcad4928a59_1763175598172.txt,423146557,003fh0000021Qs6AAE,68119492,001fh000004C8LlAAK,audio,salesloft,2025-11-14T21:43:58.434Z,135000
16ad42ae-fcdc-48f4-a046-689b904a9bfa,transcript_audio_16ad42ae-fcdc-48f4-a046-689b904a9bfa_1763175599949.txt,423146324,003Vq00000Sk8wLIAR,68119370,001fh000003pp1uAAA,audio,salesloft,2025-11-14T21:25:36.919Z,260000
293aa6e7-badf-4516-bcc9-d8c2bc78fad6,transcript_audio_293aa6e7-badf-4516-bcc9-d8c2bc78fad6_1763175601668.txt,423145831,003fh000002Ka6EAAS,68118988,001fh000004lepMAAQ,audio,salesloft,2025-11-14T19:57:40.565Z,133000
b709dd38-3105-4536-bfaa-c52c22deb264,transcript_audio_b709dd38-3105-4536-bfaa-c52c22deb264_1763175603242.txt,423145873,003fh000002OXpkAAG,68119031,001fh000004vNTtAAM,audio,salesloft,2025-11-14T19:47:29.725Z,148000
9d89c3a8-6905-436f-8d4a-b53e2b82cf82,transcript_audio_9d89c3a8-6905-436f-8d4a-b53e2b82cf82_1763175604698.txt,427848657,003Vq00000Wv9AbIAJ,69559802,001fh000004C8aTAAS,audio,salesloft,2025-11-14T19:01:46.367Z,167000
685bd971-398c-4035-a7ac-b491dfe158f6,transcript_audio_685bd971-398c-4035-a7ac-b491dfe158f6_1763175606302.txt,423146091,003Vq00000SfZ4UIAV,68119182,001Vq00000Ro7pYIAR,audio,salesloft,2025-11-14T18:30:51.543Z,129000
4062d428-9234-4195-8bc6-1bbbaa0202c6,transcript_audio_4062d428-9234-4195-8bc6-1bbbaa0202c6_1763175607719.txt,433137231,003Vq00000ZJwovIAD,71064642,001Vq00000Rm49JIAR,audio,salesloft,2025-11-14T18:08:15.954Z,571000
9d3d9106-1dd1-4529-8e98-cba6a7a6a26f,transcript_audio_9d3d9106-1dd1-4529-8e98-cba6a7a6a26f_1763175609388.txt,423145724,003fh000001myOKAAY,68118895,001fh000003pp7SAAQ,audio,salesloft,2025-11-14T17:56:00.273Z,146000
5d1da39f-4c07-4de7-8a98-a0ac18ae3acc,transcript_audio_5d1da39f-4c07-4de7-8a98-a0ac18ae3acc_1763175610986.txt,433605773,003Vq00000ZZehfIAD,71214938,001Vq00000Rm48wIAB,audio,salesloft,2025-11-14T16:50:01.505Z,196000
4d39d7f4-eb4e-4d72-82a2-ad773865c515,transcript_audio_4d39d7f4-eb4e-4d72-82a2-ad773865c515_1763175612459.txt,433616976,003Vq00000Zaj8vIAB,,,audio,salesloft,2025-11-14T16:35:53.868Z,267000
426d37d7-8453-4886-9717-8687cbe11172,transcript_audio_426d37d7-8453-4886-9717-8687cbe11172_1763175615191.txt,423145772,003fh000002F536AAC,68118936,001fh000004b5ODAAY,audio,salesloft,2025-11-13T21:58:39.606Z,122000
b3134392-2736-40b0-8585-96bdd4a51650,transcript_audio_b3134392-2736-40b0-8585-96bdd4a51650_1763175616709.txt,423145792,003fh000002F8a1AAC,68118949,001fh000004aHJeAAM,audio,salesloft,2025-11-13T21:50:46.290Z,148000
d8b67cf9-045b-43b5-90ff-d30c4f1c2c0b,transcript_audio_d8b67cf9-045b-43b5-90ff-d30c4f1c2c0b_1763175618295.txt,434318810,003Vq00000YcTlNIAV,71335090,001Vq00000Ro7eLIAR,audio,salesloft,2025-11-13T20:56:12.320Z,139000
c86a9aaf-8bd0-4d33-8690-ee8ea354ceda,transcript_audio_c86a9aaf-8bd0-4d33-8690-ee8ea354ceda_1763175621440.txt,433173012,003Vq00000ZKe6rIAD,71075517,001fh000004C8IcAAK,audio,salesloft,2025-11-13T19:43:32.534Z,192000
9e44b8fd-a494-4621-a0a2-c0a631c0f156,transcript_audio_9e44b8fd-a494-4621-a0a2-c0a631c0f156_1763175622723.txt,423145814,003fh000002Juv0AAC,68118973,001fh000004kcmXAAQ,audio,salesloft,2025-11-13T18:21:45.031Z,121000
c0064f30-0b2e-4e35-b519-19d148a466c6,transcript_audio_c0064f30-0b2e-4e35-b519-19d148a466c6_1763175624036.txt,434742629,003Vq00000Zt6v6IAB,71455556,001Vq00000Rm49cIAB,audio,salesloft,2025-11-13T17:54:24.929Z,183000
875fa6fa-cc8e-4f33-9d4e-df7ba144ff61,transcript_audio_875fa6fa-cc8e-4f33-9d4e-df7ba144ff61_1763175625482.txt,423146517,003fh000001myVUAAY,68119526,001fh000003ppCGAAY,audio,salesloft,2025-11-12T23:00:23.557Z,345000
c97080d4-92f3-4bea-90ac-d3c257b5ca76,transcript_audio_c97080d4-92f3-4bea-90ac-d3c257b5ca76_1763175627007.txt,423215622,003Vq00000S9k6mIAB,68129403,001Vq00000RLgueIAD,audio,salesloft,2025-11-12T22:54:02.169Z,139000
de52c8e5-f15b-408f-a865-de2b3347c8e5,transcript_audio_de52c8e5-f15b-408f-a865-de2b3347c8e5_1763175628421.txt,434334984,003Vq00000ZlaaAIAR,71214938,001Vq00000Rm48wIAB,audio,salesloft,2025-11-12T22:41:38.108Z,371000
